id,language,value,product_id
106,japanese,ライチュウ,3262
107,chinese,雷丘,3262
108,french,Raichu,3262
109,english,Sandshrew,3263
110,japanese,サンド,3263
111,chinese,穿山鼠,3263
112,french,Sabelette,3263
113,english,Sandslash,3264
114,japanese,サンドパン,3264
115,chinese,穿山王,3264
116,french,Sablaireau,3264
117,english,Nidoran♀,3265
118,japanese,ニドラン♀,3265
119,chinese,尼多兰,3265
120,french,Nidoran♀,3265
121,english,Nidorina,3266
122,japanese,ニドリーナ,3266
123,chinese,尼多娜,3266
124,french,Nidorina,3266
125,english,Nidoqueen,3267
126,japanese,ニドクイン,3267
127,chinese,尼多后,3267
128,french,Nidoqueen,3267
129,english,Nidoran♂,3268
130,japanese,ニドラン♂,3268
131,chinese,尼多朗,3268
132,french,Nidoran♂,3268
133,english,Nidorino,3269
134,japanese,ニドリーノ,3269
135,chinese,尼多力诺,3269
136,french,Nidorino,3269
137,english,Nidoking,3270
138,japanese,ニドキング,3270
139,chinese,尼多王,3270
140,french,Nidoking,3270
141,english,Clefairy,3271
142,japanese,ピッピ,3271
143,chinese,皮皮,3271
144,french,Mélofée,3271
145,english,Clefable,3272
146,japanese,ピクシー,3272
147,chinese,皮可西,3272
148,french,Mélodelfe,3272
149,english,Vulpix,3273
150,japanese,ロコン,3273
151,chinese,六尾,3273
152,french,Goupix,3273
153,english,Ninetales,3274
154,japanese,キュウコン,3274
155,chinese,九尾,3274
156,french,Feunard,3274
157,english,Jigglypuff,3275
158,japanese,プリン,3275
159,chinese,胖丁,3275
160,french,Rondoudou,3275
161,english,Wigglytuff,3276
162,japanese,プクリン,3276
163,chinese,胖可丁,3276
164,french,Grodoudou,3276
165,english,Zubat,3277
166,japanese,ズバット,3277
167,chinese,超音蝠,3277
168,french,Nosferapti,3277
169,english,Golbat,3278
170,japanese,ゴルバット,3278
171,chinese,大嘴蝠,3278
172,french,Nosferalto,3278
173,english,Oddish,3279
174,japanese,ナゾノクサ,3279
175,chinese,走路草,3279
176,french,Mystherbe,3279
177,english,Gloom,3280
178,japanese,クサイハナ,3280
179,chinese,臭臭花,3280
180,french,Ortide,3280
181,english,Vileplume,3281
182,japanese,ラフレシア,3281
183,chinese,霸王花,3281
184,french,Rafflesia,3281
185,english,Paras,3282
186,japanese,パラス,3282
187,chinese,派拉斯,3282
188,french,Paras,3282
189,english,Parasect,3283
190,japanese,パラセクト,3283
191,chinese,派拉斯特,3283
192,french,Parasect,3283
193,english,Venonat,3284
194,japanese,コンパン,3284
195,chinese,毛球,3284
196,french,Mimitoss,3284
197,english,Venomoth,3285
198,japanese,モルフォン,3285
199,chinese,摩鲁蛾,3285
200,french,Aéromite,3285
201,english,Diglett,3286
202,japanese,ディグダ,3286
203,chinese,地鼠,3286
204,french,Taupiqueur,3286
205,english,Dugtrio,3287
206,japanese,ダグトリオ,3287
207,chinese,三地鼠,3287
208,french,Triopikeur,3287
209,english,Meowth,3288
210,japanese,ニャース,3288
211,chinese,喵喵,3288
212,french,Miaouss,3288
213,english,Persian,3289
214,japanese,ペルシアン,3289
215,chinese,猫老大,3289
216,french,Persian,3289
217,english,Psyduck,3290
218,japanese,コダック,3290
219,chinese,可达鸭,3290
220,french,Psykokwak,3290
221,english,Golduck,3291
222,japanese,ゴルダック,3291
223,chinese,哥达鸭,3291
224,french,Akwakwak,3291
225,english,Mankey,3292
226,japanese,マンキー,3292
227,chinese,猴怪,3292
228,french,Férosinge,3292
229,english,Primeape,3293
230,japanese,オコリザル,3293
231,chinese,火暴猴,3293
232,french,Colossinge,3293
233,english,Growlithe,3294
234,japanese,ガーディ,3294
235,chinese,卡蒂狗,3294
236,french,Caninos,3294
237,english,Arcanine,3295
238,japanese,ウインディ,3295
239,chinese,风速狗,3295
240,french,Arcanin,3295
241,english,Poliwag,3296
242,japanese,ニョロモ,3296
243,chinese,蚊香蝌蚪,3296
244,french,Ptitard,3296
245,english,Poliwhirl,3297
246,japanese,ニョロゾ,3297
247,chinese,蚊香君,3297
248,french,Têtarte,3297
249,english,Poliwrath,3298
250,japanese,ニョロボン,3298
251,chinese,蚊香泳士,3298
252,french,Tartard,3298
253,english,Abra,3299
254,japanese,ケーシィ,3299
255,chinese,凯西,3299
256,french,Abra,3299
257,english,Kadabra,3300
258,japanese,ユンゲラー,3300
259,chinese,勇基拉,3300
260,french,Kadabra,3300
261,english,Alakazam,3301
262,japanese,フーディン,3301
263,chinese,胡地,3301
264,french,Alakazam,3301
265,english,Machop,3302
266,japanese,ワンリキー,3302
267,chinese,腕力,3302
268,french,Machoc,3302
269,english,Machoke,3303
270,japanese,ゴーリキー,3303
271,chinese,豪力,3303
272,french,Machopeur,3303
273,english,Machamp,3304
274,japanese,カイリキー,3304
275,chinese,怪力,3304
276,french,Mackogneur,3304
277,english,Bellsprout,3305
278,japanese,マダツボミ,3305
279,chinese,喇叭芽,3305
280,french,Chétiflor,3305
281,english,Weepinbell,3306
282,japanese,ウツドン,3306
283,chinese,口呆花,3306
284,french,Boustiflor,3306
285,english,Victreebel,3307
286,japanese,ウツボット,3307
287,chinese,大食花,3307
288,french,Empiflor,3307
289,english,Tentacool,3308
290,japanese,メノクラゲ,3308
291,chinese,玛瑙水母,3308
292,french,Tentacool,3308
293,english,Tentacruel,3309
294,japanese,ドククラゲ,3309
295,chinese,毒刺水母,3309
296,french,Tentacruel,3309
297,english,Geodude,3310
298,japanese,イシツブテ,3310
299,chinese,小拳石,3310
300,french,Racaillou,3310
301,english,Graveler,3311
302,japanese,ゴローン,3311
303,chinese,隆隆石,3311
304,french,Gravalanch,3311
305,english,Golem,3312
306,japanese,ゴローニャ,3312
307,chinese,隆隆岩,3312
308,french,Grolem,3312
309,english,Ponyta,3313
310,japanese,ポニータ,3313
311,chinese,小火马,3313
312,french,Ponyta,3313
313,english,Rapidash,3314
314,japanese,ギャロップ,3314
315,chinese,烈焰马,3314
316,french,Galopa,3314
317,english,Slowpoke,3315
318,japanese,ヤドン,3315
319,chinese,呆呆兽,3315
320,french,Ramoloss,3315
321,english,Slowbro,3316
322,japanese,ヤドラン,3316
323,chinese,呆壳兽,3316
324,french,Flagadoss,3316
325,english,Magnemite,3317
326,japanese,コイル,3317
327,chinese,小磁怪,3317
328,french,Magnéti,3317
329,english,Magneton,3318
330,japanese,レアコイル,3318
331,chinese,三合一磁怪,3318
332,french,Magnéton,3318
333,english,Farfetch'd,3319
334,japanese,カモネギ,3319
335,chinese,大葱鸭,3319
336,french,Canarticho,3319
337,english,Doduo,3320
338,japanese,ドードー,3320
339,chinese,嘟嘟,3320
340,french,Doduo,3320
341,english,Dodrio,3321
342,japanese,ドードリオ,3321
343,chinese,嘟嘟利,3321
344,french,Dodrio,3321
345,english,Seel,3322
346,japanese,パウワウ,3322
347,chinese,小海狮,3322
348,french,Otaria,3322
349,english,Dewgong,3323
350,japanese,ジュゴン,3323
351,chinese,白海狮,3323
352,french,Lamantine,3323
353,english,Grimer,3324
354,japanese,ベトベター,3324
355,chinese,臭泥,3324
356,french,Tadmorv,3324
357,english,Muk,3325
358,japanese,ベトベトン,3325
359,chinese,臭臭泥,3325
360,french,Grotadmorv,3325
361,english,Shellder,3326
362,japanese,シェルダー,3326
363,chinese,大舌贝,3326
364,french,Kokiyas,3326
365,english,Cloyster,3327
366,japanese,パルシェン,3327
367,chinese,刺甲贝,3327
368,french,Crustabri,3327
369,english,Gastly,3328
370,japanese,ゴース,3328
371,chinese,鬼斯,3328
372,french,Fantominus,3328
373,english,Haunter,3329
374,japanese,ゴースト,3329
375,chinese,鬼斯通,3329
376,french,Spectrum,3329
377,english,Gengar,3330
378,japanese,ゲンガー,3330
379,chinese,耿鬼,3330
380,french,Ectoplasma,3330
381,english,Onix,3331
382,japanese,イワーク,3331
383,chinese,大岩蛇,3331
384,french,Onix,3331
385,english,Drowzee,3332
386,japanese,スリープ,3332
387,chinese,催眠貘,3332
388,french,Soporifik,3332
389,english,Hypno,3333
390,japanese,スリーパー,3333
391,chinese,引梦貘人,3333
392,french,Hypnomade,3333
393,english,Krabby,3334
394,japanese,クラブ,3334
395,chinese,大钳蟹,3334
396,french,Krabby,3334
397,english,Kingler,3335
398,japanese,キングラー,3335
399,chinese,巨钳蟹,3335
400,french,Krabboss,3335
401,english,Voltorb,3336
402,japanese,ビリリダマ,3336
403,chinese,霹雳电球,3336
404,french,Voltorbe,3336
405,english,Electrode,3337
406,japanese,マルマイン,3337
407,chinese,顽皮雷弹,3337
408,french,Électrode,3337
409,english,Exeggcute,3338
410,japanese,タマタマ,3338
411,chinese,蛋蛋,3338
412,french,Noeunoeuf,3338
413,english,Exeggutor,3339
414,japanese,ナッシー,3339
415,chinese,椰蛋树,3339
416,french,Noadkoko,3339
417,english,Cubone,3340
418,japanese,カラカラ,3340
419,chinese,卡拉卡拉,3340
420,french,Osselait,3340
421,english,Marowak,3341
422,japanese,ガラガラ,3341
423,chinese,嘎啦嘎啦,3341
424,french,Ossatueur,3341
425,english,Hitmonlee,3342
426,japanese,サワムラー,3342
427,chinese,飞腿郎,3342
428,french,Kicklee,3342
429,english,Hitmonchan,3343
430,japanese,エビワラー,3343
431,chinese,快拳郎,3343
432,french,Tygnon,3343
433,english,Lickitung,3344
434,japanese,ベロリンガ,3344
435,chinese,大舌头,3344
436,french,Excelangue,3344
437,english,Koffing,3345
438,japanese,ドガース,3345
439,chinese,瓦斯弹,3345
440,french,Smogo,3345
441,english,Weezing,3346
442,japanese,マタドガス,3346
443,chinese,双弹瓦斯,3346
444,french,Smogogo,3346
445,english,Rhyhorn,3347
446,japanese,サイホーン,3347
447,chinese,独角犀牛,3347
448,french,Rhinocorne,3347
449,english,Rhydon,3348
450,japanese,サイドン,3348
451,chinese,钻角犀兽,3348
452,french,Rhinoféros,3348
453,english,Chansey,3349
454,japanese,ラッキー,3349
455,chinese,吉利蛋,3349
456,french,Leveinard,3349
457,english,Tangela,3350
458,japanese,モンジャラ,3350
459,chinese,蔓藤怪,3350
460,french,Saquedeneu,3350
461,english,Kangaskhan,3351
462,japanese,ガルーラ,3351
463,chinese,袋兽,3351
464,french,Kangourex,3351
465,english,Horsea,3352
466,japanese,タッツー,3352
467,chinese,墨海马,3352
468,french,Hypotrempe,3352
469,english,Seadra,3353
470,japanese,シードラ,3353
471,chinese,海刺龙,3353
472,french,Hypocéan,3353
473,english,Goldeen,3354
474,japanese,トサキント,3354
475,chinese,角金鱼,3354
476,french,Poissirène,3354
477,english,Seaking,3355
478,japanese,アズマオウ,3355
479,chinese,金鱼王,3355
480,french,Poissoroy,3355
481,english,Staryu,3356
482,japanese,ヒトデマン,3356
483,chinese,海星星,3356
484,french,Stari,3356
485,english,Starmie,3357
486,japanese,スターミー,3357
487,chinese,宝石海星,3357
488,french,Staross,3357
489,english,Mr. Mime,3358
490,japanese,バリヤード,3358
491,chinese,魔墙人偶,3358
492,french,M. Mime,3358
493,english,Scyther,3359
494,japanese,ストライク,3359
495,chinese,飞天螳螂,3359
496,french,Insécateur,3359
497,english,Jynx,3360
498,japanese,ルージュラ,3360
499,chinese,迷唇姐,3360
500,french,Lippoutou,3360
501,english,Electabuzz,3361
502,japanese,エレブー,3361
503,chinese,电击兽,3361
504,french,Élektek,3361
505,english,Magmar,3362
506,japanese,ブーバー,3362
507,chinese,鸭嘴火兽,3362
508,french,Magmar,3362
509,english,Pinsir,3363
510,japanese,カイロス,3363
511,chinese,凯罗斯,3363
512,french,Scarabrute,3363
513,english,Tauros,3364
514,japanese,ケンタロス,3364
515,chinese,肯泰罗,3364
516,french,Tauros,3364
517,english,Magikarp,3365
518,japanese,コイキング,3365
519,chinese,鲤鱼王,3365
520,french,Magicarpe,3365
521,english,Gyarados,3366
522,japanese,ギャラドス,3366
523,chinese,暴鲤龙,3366
524,french,Léviator,3366
525,english,Lapras,3367
526,japanese,ラプラス,3367
527,chinese,拉普拉斯,3367
528,french,Lokhlass,3367
529,english,Ditto,3368
530,japanese,メタモン,3368
531,chinese,百变怪,3368
532,french,Métamorph,3368
533,english,Eevee,3369
534,japanese,イーブイ,3369
535,chinese,伊布,3369
536,french,Évoli,3369
537,english,Vaporeon,3370
538,japanese,シャワーズ,3370
539,chinese,水伊布,3370
540,french,Aquali,3370
541,english,Jolteon,3371
542,japanese,サンダース,3371
543,chinese,雷伊布,3371
544,french,Voltali,3371
545,english,Flareon,3372
546,japanese,ブースター,3372
547,chinese,火伊布,3372
548,french,Pyroli,3372
549,english,Porygon,3373
550,japanese,ポリゴン,3373
551,chinese,多边兽,3373
552,french,Porygon,3373
553,english,Omanyte,3374
554,japanese,オムナイト,3374
555,chinese,菊石兽,3374
556,french,Amonita,3374
557,english,Omastar,3375
558,japanese,オムスター,3375
559,chinese,多刺菊石兽,3375
560,french,Amonistar,3375
561,english,Kabuto,3376
562,japanese,カブト,3376
563,chinese,化石盔,3376
564,french,Kabuto,3376
565,english,Kabutops,3377
566,japanese,カブトプス,3377
567,chinese,镰刀盔,3377
568,french,Kabutops,3377
569,english,Aerodactyl,3378
570,japanese,プテラ,3378
571,chinese,化石翼龙,3378
572,french,Ptéra,3378
573,english,Snorlax,3379
574,japanese,カビゴン,3379
575,chinese,卡比兽,3379
576,french,Ronflex,3379
577,english,Articuno,3380
578,japanese,フリーザー,3380
579,chinese,急冻鸟,3380
580,french,Artikodin,3380
581,english,Zapdos,3381
582,japanese,サンダー,3381
583,chinese,闪电鸟,3381
584,french,Électhor,3381
585,english,Moltres,3382
586,japanese,ファイヤー,3382
587,chinese,火焰鸟,3382
588,french,Sulfura,3382
589,english,Dratini,3383
590,japanese,ミニリュウ,3383
591,chinese,迷你龙,3383
592,french,Minidraco,3383
593,english,Dragonair,3384
594,japanese,ハクリュー,3384
595,chinese,哈克龙,3384
596,french,Draco,3384
597,english,Dragonite,3385
598,japanese,カイリュー,3385
599,chinese,快龙,3385
600,french,Dracolosse,3385
601,english,Mewtwo,3386
602,japanese,ミュウツー,3386
603,chinese,超梦,3386
604,french,Mewtwo,3386
605,english,Mew,3387
606,japanese,ミュウ,3387
607,chinese,梦幻,3387
608,french,Mew,3387
609,english,Chikorita,3388
610,japanese,チコリータ,3388
611,chinese,菊草叶,3388
612,french,Germignon,3388
613,english,Bayleef,3389
614,japanese,ベイリーフ,3389
615,chinese,月桂叶,3389
616,french,Macronium,3389
617,english,Meganium,3390
618,japanese,メガニウム,3390
619,chinese,大竺葵,3390
620,french,Méganium,3390
621,english,Cyndaquil,3391
622,japanese,ヒノアラシ,3391
623,chinese,火球鼠,3391
624,french,Héricendre,3391
625,english,Quilava,3392
626,japanese,マグマラシ,3392
627,chinese,火岩鼠,3392
628,french,Feurisson,3392
629,english,Typhlosion,3393
630,japanese,バクフーン,3393
631,chinese,火暴兽,3393
632,french,Typhlosion,3393
633,english,Totodile,3394
634,japanese,ワニノコ,3394
635,chinese,小锯鳄,3394
636,french,Kaiminus,3394
637,english,Croconaw,3395
638,japanese,アリゲイツ,3395
639,chinese,蓝鳄,3395
640,french,Crocrodil,3395
641,english,Feraligatr,3396
642,japanese,オーダイル,3396
643,chinese,大力鳄,3396
644,french,Aligatueur,3396
645,english,Sentret,3397
646,japanese,オタチ,3397
647,chinese,尾立,3397
648,french,Fouinette,3397
649,english,Furret,3398
650,japanese,オオタチ,3398
651,chinese,大尾立,3398
652,french,Fouinar,3398
653,english,Hoothoot,3399
654,japanese,ホーホー,3399
655,chinese,咕咕,3399
656,french,Hoothoot,3399
657,english,Noctowl,3400
658,japanese,ヨルノズク,3400
659,chinese,猫头夜鹰,3400
660,french,Noarfang,3400
661,english,Ledyba,3401
662,japanese,レディバ,3401
663,chinese,芭瓢虫,3401
664,french,Coxy,3401
665,english,Ledian,3402
666,japanese,レディアン,3402
667,chinese,安瓢虫,3402
668,french,Coxyclaque,3402
669,english,Spinarak,3403
670,japanese,イトマル,3403
671,chinese,圆丝蛛,3403
672,french,Mimigal,3403
673,english,Ariados,3404
674,japanese,アリアドス,3404
675,chinese,阿利多斯,3404
676,french,Migalos,3404
677,english,Crobat,3405
678,japanese,クロバット,3405
679,chinese,叉字蝠,3405
680,french,Nostenfer,3405
681,english,Chinchou,3406
682,japanese,チョンチー,3406
683,chinese,灯笼鱼,3406
684,french,Loupio,3406
685,english,Lanturn,3407
686,japanese,ランターン,3407
687,chinese,电灯怪,3407
688,french,Lanturn,3407
689,english,Pichu,3408
690,japanese,ピチュー,3408
691,chinese,皮丘,3408
692,french,Pichu,3408
693,english,Cleffa,3409
694,japanese,ピィ,3409
695,chinese,皮宝宝,3409
696,french,Mélo,3409
697,english,Igglybuff,3410
698,japanese,ププリン,3410
699,chinese,宝宝丁,3410
700,french,Toudoudou,3410
701,english,Togepi,3411
702,japanese,トゲピー,3411
703,chinese,波克比,3411
704,french,Togepi,3411
705,english,Togetic,3412
706,japanese,トゲチック,3412
707,chinese,波克基古,3412
708,french,Togetic,3412
709,english,Natu,3413
710,japanese,ネイティ,3413
711,chinese,天然雀,3413
712,french,Natu,3413
713,english,Xatu,3414
714,japanese,ネイティオ,3414
715,chinese,天然鸟,3414
716,french,Xatu,3414
717,english,Mareep,3415
718,japanese,メリープ,3415
719,chinese,咩利羊,3415
720,french,Wattouat,3415
721,english,Flaaffy,3416
722,japanese,モココ,3416
723,chinese,茸茸羊,3416
724,french,Lainergie,3416
725,english,Ampharos,3417
726,japanese,デンリュウ,3417
727,chinese,电龙,3417
728,french,Pharamp,3417
729,english,Bellossom,3418
730,japanese,キレイハナ,3418
731,chinese,美丽花,3418
732,french,Joliflor,3418
733,english,Marill,3419
734,japanese,マリル,3419
735,chinese,玛力露,3419
736,french,Marill,3419
737,english,Azumarill,3420
738,japanese,マリルリ,3420
739,chinese,玛力露丽,3420
740,french,Azumarill,3420
741,english,Sudowoodo,3421
742,japanese,ウソッキー,3421
743,chinese,树才怪‎,3421
744,french,Simularbre,3421
745,english,Politoed,3422
746,japanese,ニョロトノ,3422
747,chinese,蚊香蛙皇,3422
748,french,Tarpaud,3422
749,english,Hoppip,3423
750,japanese,ハネッコ,3423
751,chinese,毽子草,3423
752,french,Granivol,3423
753,english,Skiploom,3424
754,japanese,ポポッコ,3424
755,chinese,毽子花,3424
756,french,Floravol,3424
757,english,Jumpluff,3425
758,japanese,ワタッコ,3425
759,chinese,毽子棉,3425
760,french,Cotovol,3425
761,english,Aipom,3426
762,japanese,エイパム,3426
763,chinese,长尾怪手,3426
764,french,Capumain,3426
765,english,Sunkern,3427
766,japanese,ヒマナッツ,3427
767,chinese,向日种子,3427
768,french,Tournegrin,3427
769,english,Sunflora,3428
770,japanese,キマワリ,3428
771,chinese,向日花怪,3428
772,french,Héliatronc,3428
773,english,Yanma,3429
774,japanese,ヤンヤンマ,3429
775,chinese,蜻蜻蜓,3429
776,french,Yanma,3429
777,english,Wooper,3430
778,japanese,ウパー,3430
779,chinese,乌波,3430
780,french,Axoloto,3430
781,english,Quagsire,3431
782,japanese,ヌオー,3431
783,chinese,沼王,3431
784,french,Maraiste,3431
785,english,Espeon,3432
786,japanese,エーフィ,3432
787,chinese,太阳伊布,3432
788,french,Mentali,3432
789,english,Umbreon,3433
790,japanese,ブラッキー,3433
791,chinese,月亮伊布,3433
792,french,Noctali,3433
793,english,Murkrow,3434
794,japanese,ヤミカラス,3434
795,chinese,黑暗鸦,3434
796,french,Cornèbre,3434
797,english,Slowking,3435
798,japanese,ヤドキング,3435
799,chinese,呆呆王,3435
800,french,Roigada,3435
801,english,Misdreavus,3436
802,japanese,ムウマ,3436
803,chinese,梦妖,3436
804,french,Feuforêve,3436
805,english,Unown,3437
806,japanese,アンノーン,3437
807,chinese,未知图腾,3437
808,french,Zarbi,3437
809,english,Wobbuffet,3438
810,japanese,ソーナンス,3438
811,chinese,果然翁,3438
812,french,Qulbutoké,3438
813,english,Girafarig,3439
814,japanese,キリンリキ,3439
815,chinese,麒麟奇,3439
816,french,Girafarig,3439
817,english,Pineco,3440
818,japanese,クヌギダマ,3440
819,chinese,榛果球,3440
820,french,Pomdepik,3440
821,english,Forretress,3441
822,japanese,フォレトス,3441
823,chinese,佛烈托斯,3441
824,french,Foretress,3441
825,english,Dunsparce,3442
826,japanese,ノコッチ,3442
827,chinese,土龙弟弟,3442
828,french,Insolourdo,3442
829,english,Gligar,3443
830,japanese,グライガー,3443
831,chinese,天蝎,3443
832,french,Scorplane,3443
833,english,Steelix,3444
834,japanese,ハガネール,3444
835,chinese,大钢蛇,3444
836,french,Steelix,3444
837,english,Snubbull,3445
838,japanese,ブルー,3445
839,chinese,布鲁,3445
840,french,Snubbull,3445
841,english,Granbull,3446
842,japanese,グランブル,3446
843,chinese,布鲁皇,3446
844,french,Granbull,3446
845,english,Qwilfish,3447
846,japanese,ハリーセン,3447
847,chinese,千针鱼,3447
848,french,Qwilfish,3447
849,english,Scizor,3448
850,japanese,ハッサム,3448
851,chinese,巨钳螳螂,3448
852,french,Cizayox,3448
853,english,Shuckle,3449
854,japanese,ツボツボ,3449
855,chinese,壶壶,3449
856,french,Caratroc,3449
857,english,Heracross,3450
858,japanese,ヘラクロス,3450
859,chinese,赫拉克罗斯,3450
860,french,Scarhino,3450
861,english,Sneasel,3451
862,japanese,ニューラ,3451
863,chinese,狃拉,3451
864,french,Farfuret,3451
865,english,Teddiursa,3452
866,japanese,ヒメグマ,3452
867,chinese,熊宝宝,3452
868,french,Teddiursa,3452
869,english,Ursaring,3453
870,japanese,リングマ,3453
871,chinese,圈圈熊,3453
872,french,Ursaring,3453
873,english,Slugma,3454
874,japanese,マグマッグ,3454
875,chinese,熔岩虫,3454
876,french,Limagma,3454
877,english,Magcargo,3455
878,japanese,マグカルゴ,3455
879,chinese,熔岩蜗牛,3455
880,french,Volcaropod,3455
881,english,Swinub,3456
882,japanese,ウリムー,3456
883,chinese,小山猪,3456
884,french,Marcacrin,3456
885,english,Piloswine,3457
886,japanese,イノムー,3457
887,chinese,长毛猪,3457
888,french,Cochignon,3457
889,english,Corsola,3458
890,japanese,サニーゴ,3458
891,chinese,太阳珊瑚,3458
892,french,Corayon,3458
893,english,Remoraid,3459
894,japanese,テッポウオ,3459
895,chinese,铁炮鱼,3459
896,french,Rémoraid,3459
897,english,Octillery,3460
898,japanese,オクタン,3460
899,chinese,章鱼桶,3460
900,french,Octillery,3460
901,english,Delibird,3461
902,japanese,デリバード,3461
903,chinese,信使鸟,3461
904,french,Cadoizo,3461
905,english,Mantine,3462
906,japanese,マンタイン,3462
907,chinese,巨翅飞鱼,3462
908,french,Démanta,3462
909,english,Skarmory,3463
910,japanese,エアームド,3463
911,chinese,盔甲鸟,3463
912,french,Airmure,3463
913,english,Houndour,3464
914,japanese,デルビル,3464
915,chinese,戴鲁比,3464
916,french,Malosse,3464
917,english,Houndoom,3465
918,japanese,ヘルガー,3465
919,chinese,黑鲁加,3465
920,french,Démolosse,3465
921,english,Kingdra,3466
922,japanese,キングドラ,3466
923,chinese,刺龙王,3466
924,french,Hyporoi,3466
925,english,Phanpy,3467
926,japanese,ゴマゾウ,3467
927,chinese,小小象,3467
928,french,Phanpy,3467
929,english,Donphan,3468
930,japanese,ドンファン,3468
931,chinese,顿甲,3468
932,french,Donphan,3468
933,english,Porygon2,3469
934,japanese,ポリゴン２,3469
935,chinese,多边兽Ⅱ,3469
936,french,Porygon2,3469
937,english,Stantler,3470
938,japanese,オドシシ,3470
939,chinese,惊角鹿,3470
940,french,Cerfrousse,3470
941,english,Smeargle,3471
942,japanese,ドーブル,3471
943,chinese,图图犬,3471
944,french,Queulorior,3471
945,english,Tyrogue,3472
946,japanese,バルキー,3472
947,chinese,无畏小子,3472
948,french,Debugant,3472
949,english,Hitmontop,3473
950,japanese,カポエラー,3473
951,chinese,战舞郎,3473
952,french,Kapoera,3473
953,english,Smoochum,3474
954,japanese,ムチュール,3474
955,chinese,迷唇娃,3474
956,french,Lippouti,3474
957,english,Elekid,3475
958,japanese,エレキッド,3475
959,chinese,电击怪,3475
960,french,Élekid,3475
961,english,Magby,3476
962,japanese,ブビィ,3476
963,chinese,鸭嘴宝宝,3476
964,french,Magby,3476
965,english,Miltank,3477
966,japanese,ミルタンク,3477
967,chinese,大奶罐,3477
968,french,Écrémeuh,3477
969,english,Blissey,3478
970,japanese,ハピナス,3478
971,chinese,幸福蛋,3478
972,french,Leuphorie,3478
973,english,Raikou,3479
974,japanese,ライコウ,3479
975,chinese,雷公,3479
976,french,Raikou,3479
977,english,Entei,3480
978,japanese,エンテイ,3480
979,chinese,炎帝,3480
980,french,Entei,3480
981,english,Suicune,3481
982,japanese,スイクン,3481
983,chinese,水君,3481
984,french,Suicune,3481
985,english,Larvitar,3482
986,japanese,ヨーギラス,3482
987,chinese,幼基拉斯,3482
988,french,Embrylex,3482
989,english,Pupitar,3483
990,japanese,サナギラス,3483
991,chinese,沙基拉斯,3483
992,french,Ymphect,3483
993,english,Tyranitar,3484
994,japanese,バンギラス,3484
995,chinese,班基拉斯,3484
996,french,Tyranocif,3484
